tensor_name,internal_name,source_role,role,target,model_note,layer,dtype_or_quant_type,gguf_shape,gguf_nbytes,in_features,out_features,q8_0_blocks_per_row,lanes,padded_out_features,row_padding,row_groups,scale_bytes,weight_bytes,total_packet_bytes,output_bytes,mac_count,scale_beats_32,weight_beats_32,total_beats_32,lane_utilization_estimate,stream_cycles_32_74mhz,stream_us_32_74mhz,scale_beats_128,weight_beats_128,total_beats_128,stream_cycles_128_74mhz,stream_us_128_74mhz,stream_cycles_128_50mhz,stream_us_128_50mhz,speedup_128_vs_32,mac_cycles_16lane_estimate,mac_us_16lane_74mhz_estimate,pure_stream_compute_us_32_74mhz,pure_stream_compute_us_128_74mhz,single_fixed_overhead_us,single_total_us_32_74mhz,single_total_us_128_74mhz,batch8_fixed_overhead_us,batch8_total_us_32_74mhz,batch8_total_us_128_74mhz,batch16_fixed_overhead_us,batch16_total_us_32_74mhz,batch16_total_us_128_74mhz,batch64_fixed_overhead_us,batch64_total_us_32_74mhz,batch64_total_us_128_74mhz
blk.8.attn_q.weight,layer_8_q_proj,attention_q_projection,attention_q_projection,q_proj,,8,Q8_0,"[576,576]",352512,576,576,18,16,576,0,36,41472,331776,373248,2304,331776,10368,82944,93312,1.000000,93312,1260.972973,2592,20736,23328,23328,315.243243,23328,466.560000,4.000000,20736,280.216216,1260.972973,315.243243,246.000000,1506.972973,561.243243,30.750000,1291.722973,345.993243,15.375000,1276.347973,330.618243,3.843750,1264.816723,319.086993
blk.8.attn_k.weight,layer_8_k_proj,attention_k_projection,attention_k_projection,k_proj,,8,Q8_0,"[576,192]",117504,576,192,18,16,192,0,12,13824,110592,124416,768,110592,3456,27648,31104,1.000000,31104,420.324324,864,6912,7776,7776,105.081081,7776,155.520000,4.000000,6912,93.405405,420.324324,105.081081,246.000000,666.324324,351.081081,30.750000,451.074324,135.831081,15.375000,435.699324,120.456081,3.843750,424.168074,108.924831
blk.8.attn_v.weight,layer_8_v_proj,attention_v_projection,attention_v_projection,v_proj,,8,Q8_0,"[576,192]",117504,576,192,18,16,192,0,12,13824,110592,124416,768,110592,3456,27648,31104,1.000000,31104,420.324324,864,6912,7776,7776,105.081081,7776,155.520000,4.000000,6912,93.405405,420.324324,105.081081,246.000000,666.324324,351.081081,30.750000,451.074324,135.831081,15.375000,435.699324,120.456081,3.843750,424.168074,108.924831
blk.8.attn_output.weight,layer_8_o_proj,attention_output_projection,attention_output_projection,o_proj,,8,Q8_0,"[576,576]",352512,576,576,18,16,576,0,36,41472,331776,373248,2304,331776,10368,82944,93312,1.000000,93312,1260.972973,2592,20736,23328,23328,315.243243,23328,466.560000,4.000000,20736,280.216216,1260.972973,315.243243,246.000000,1506.972973,561.243243,30.750000,1291.722973,345.993243,15.375000,1276.347973,330.618243,3.843750,1264.816723,319.086993
blk.8.ffn_gate.weight,layer_8_gate_proj,mlp_gate_projection,mlp_gate_projection,gate_proj,,8,Q8_0,"[576,1536]",940032,576,1536,18,16,1536,0,96,110592,884736,995328,6144,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.8.ffn_up.weight,layer_8_up_proj,mlp_up_projection,mlp_up_projection,up_proj,,8,Q8_0,"[576,1536]",940032,576,1536,18,16,1536,0,96,110592,884736,995328,6144,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.8.ffn_down.weight,layer_8_down_proj,mlp_down_projection,mlp_down_projection,down_proj,,8,Q8_0,"[1536,576]",940032,1536,576,48,16,576,0,36,110592,884736,995328,2304,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.9.attn_q.weight,layer_9_q_proj,attention_q_projection,attention_q_projection,q_proj,,9,Q8_0,"[576,576]",352512,576,576,18,16,576,0,36,41472,331776,373248,2304,331776,10368,82944,93312,1.000000,93312,1260.972973,2592,20736,23328,23328,315.243243,23328,466.560000,4.000000,20736,280.216216,1260.972973,315.243243,246.000000,1506.972973,561.243243,30.750000,1291.722973,345.993243,15.375000,1276.347973,330.618243,3.843750,1264.816723,319.086993
blk.9.attn_k.weight,layer_9_k_proj,attention_k_projection,attention_k_projection,k_proj,,9,Q8_0,"[576,192]",117504,576,192,18,16,192,0,12,13824,110592,124416,768,110592,3456,27648,31104,1.000000,31104,420.324324,864,6912,7776,7776,105.081081,7776,155.520000,4.000000,6912,93.405405,420.324324,105.081081,246.000000,666.324324,351.081081,30.750000,451.074324,135.831081,15.375000,435.699324,120.456081,3.843750,424.168074,108.924831
blk.9.attn_v.weight,layer_9_v_proj,attention_v_projection,attention_v_projection,v_proj,,9,Q8_0,"[576,192]",117504,576,192,18,16,192,0,12,13824,110592,124416,768,110592,3456,27648,31104,1.000000,31104,420.324324,864,6912,7776,7776,105.081081,7776,155.520000,4.000000,6912,93.405405,420.324324,105.081081,246.000000,666.324324,351.081081,30.750000,451.074324,135.831081,15.375000,435.699324,120.456081,3.843750,424.168074,108.924831
blk.9.attn_output.weight,layer_9_o_proj,attention_output_projection,attention_output_projection,o_proj,,9,Q8_0,"[576,576]",352512,576,576,18,16,576,0,36,41472,331776,373248,2304,331776,10368,82944,93312,1.000000,93312,1260.972973,2592,20736,23328,23328,315.243243,23328,466.560000,4.000000,20736,280.216216,1260.972973,315.243243,246.000000,1506.972973,561.243243,30.750000,1291.722973,345.993243,15.375000,1276.347973,330.618243,3.843750,1264.816723,319.086993
blk.9.ffn_gate.weight,layer_9_gate_proj,mlp_gate_projection,mlp_gate_projection,gate_proj,,9,Q8_0,"[576,1536]",940032,576,1536,18,16,1536,0,96,110592,884736,995328,6144,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.9.ffn_up.weight,layer_9_up_proj,mlp_up_projection,mlp_up_projection,up_proj,,9,Q8_0,"[576,1536]",940032,576,1536,18,16,1536,0,96,110592,884736,995328,6144,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.9.ffn_down.weight,layer_9_down_proj,mlp_down_projection,mlp_down_projection,down_proj,,9,Q8_0,"[1536,576]",940032,1536,576,48,16,576,0,36,110592,884736,995328,2304,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.10.attn_q.weight,layer_10_q_proj,attention_q_projection,attention_q_projection,q_proj,,10,Q8_0,"[576,576]",352512,576,576,18,16,576,0,36,41472,331776,373248,2304,331776,10368,82944,93312,1.000000,93312,1260.972973,2592,20736,23328,23328,315.243243,23328,466.560000,4.000000,20736,280.216216,1260.972973,315.243243,246.000000,1506.972973,561.243243,30.750000,1291.722973,345.993243,15.375000,1276.347973,330.618243,3.843750,1264.816723,319.086993
blk.10.attn_k.weight,layer_10_k_proj,attention_k_projection,attention_k_projection,k_proj,,10,Q8_0,"[576,192]",117504,576,192,18,16,192,0,12,13824,110592,124416,768,110592,3456,27648,31104,1.000000,31104,420.324324,864,6912,7776,7776,105.081081,7776,155.520000,4.000000,6912,93.405405,420.324324,105.081081,246.000000,666.324324,351.081081,30.750000,451.074324,135.831081,15.375000,435.699324,120.456081,3.843750,424.168074,108.924831
blk.10.attn_v.weight,layer_10_v_proj,attention_v_projection,attention_v_projection,v_proj,,10,Q8_0,"[576,192]",117504,576,192,18,16,192,0,12,13824,110592,124416,768,110592,3456,27648,31104,1.000000,31104,420.324324,864,6912,7776,7776,105.081081,7776,155.520000,4.000000,6912,93.405405,420.324324,105.081081,246.000000,666.324324,351.081081,30.750000,451.074324,135.831081,15.375000,435.699324,120.456081,3.843750,424.168074,108.924831
blk.10.attn_output.weight,layer_10_o_proj,attention_output_projection,attention_output_projection,o_proj,,10,Q8_0,"[576,576]",352512,576,576,18,16,576,0,36,41472,331776,373248,2304,331776,10368,82944,93312,1.000000,93312,1260.972973,2592,20736,23328,23328,315.243243,23328,466.560000,4.000000,20736,280.216216,1260.972973,315.243243,246.000000,1506.972973,561.243243,30.750000,1291.722973,345.993243,15.375000,1276.347973,330.618243,3.843750,1264.816723,319.086993
blk.10.ffn_gate.weight,layer_10_gate_proj,mlp_gate_projection,mlp_gate_projection,gate_proj,,10,Q8_0,"[576,1536]",940032,576,1536,18,16,1536,0,96,110592,884736,995328,6144,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.10.ffn_up.weight,layer_10_up_proj,mlp_up_projection,mlp_up_projection,up_proj,,10,Q8_0,"[576,1536]",940032,576,1536,18,16,1536,0,96,110592,884736,995328,6144,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.10.ffn_down.weight,layer_10_down_proj,mlp_down_projection,mlp_down_projection,down_proj,,10,Q8_0,"[1536,576]",940032,1536,576,48,16,576,0,36,110592,884736,995328,2304,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.11.attn_q.weight,layer_11_q_proj,attention_q_projection,attention_q_projection,q_proj,,11,Q8_0,"[576,576]",352512,576,576,18,16,576,0,36,41472,331776,373248,2304,331776,10368,82944,93312,1.000000,93312,1260.972973,2592,20736,23328,23328,315.243243,23328,466.560000,4.000000,20736,280.216216,1260.972973,315.243243,246.000000,1506.972973,561.243243,30.750000,1291.722973,345.993243,15.375000,1276.347973,330.618243,3.843750,1264.816723,319.086993
blk.11.attn_k.weight,layer_11_k_proj,attention_k_projection,attention_k_projection,k_proj,,11,Q8_0,"[576,192]",117504,576,192,18,16,192,0,12,13824,110592,124416,768,110592,3456,27648,31104,1.000000,31104,420.324324,864,6912,7776,7776,105.081081,7776,155.520000,4.000000,6912,93.405405,420.324324,105.081081,246.000000,666.324324,351.081081,30.750000,451.074324,135.831081,15.375000,435.699324,120.456081,3.843750,424.168074,108.924831
blk.11.attn_v.weight,layer_11_v_proj,attention_v_projection,attention_v_projection,v_proj,,11,Q8_0,"[576,192]",117504,576,192,18,16,192,0,12,13824,110592,124416,768,110592,3456,27648,31104,1.000000,31104,420.324324,864,6912,7776,7776,105.081081,7776,155.520000,4.000000,6912,93.405405,420.324324,105.081081,246.000000,666.324324,351.081081,30.750000,451.074324,135.831081,15.375000,435.699324,120.456081,3.843750,424.168074,108.924831
blk.11.attn_output.weight,layer_11_o_proj,attention_output_projection,attention_output_projection,o_proj,,11,Q8_0,"[576,576]",352512,576,576,18,16,576,0,36,41472,331776,373248,2304,331776,10368,82944,93312,1.000000,93312,1260.972973,2592,20736,23328,23328,315.243243,23328,466.560000,4.000000,20736,280.216216,1260.972973,315.243243,246.000000,1506.972973,561.243243,30.750000,1291.722973,345.993243,15.375000,1276.347973,330.618243,3.843750,1264.816723,319.086993
blk.11.ffn_gate.weight,layer_11_gate_proj,mlp_gate_projection,mlp_gate_projection,gate_proj,,11,Q8_0,"[576,1536]",940032,576,1536,18,16,1536,0,96,110592,884736,995328,6144,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.11.ffn_up.weight,layer_11_up_proj,mlp_up_projection,mlp_up_projection,up_proj,,11,Q8_0,"[576,1536]",940032,576,1536,18,16,1536,0,96,110592,884736,995328,6144,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.11.ffn_down.weight,layer_11_down_proj,mlp_down_projection,mlp_down_projection,down_proj,,11,Q8_0,"[1536,576]",940032,1536,576,48,16,576,0,36,110592,884736,995328,2304,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.12.attn_q.weight,layer_12_q_proj,attention_q_projection,attention_q_projection,q_proj,,12,Q8_0,"[576,576]",352512,576,576,18,16,576,0,36,41472,331776,373248,2304,331776,10368,82944,93312,1.000000,93312,1260.972973,2592,20736,23328,23328,315.243243,23328,466.560000,4.000000,20736,280.216216,1260.972973,315.243243,246.000000,1506.972973,561.243243,30.750000,1291.722973,345.993243,15.375000,1276.347973,330.618243,3.843750,1264.816723,319.086993
blk.12.attn_k.weight,layer_12_k_proj,attention_k_projection,attention_k_projection,k_proj,,12,Q8_0,"[576,192]",117504,576,192,18,16,192,0,12,13824,110592,124416,768,110592,3456,27648,31104,1.000000,31104,420.324324,864,6912,7776,7776,105.081081,7776,155.520000,4.000000,6912,93.405405,420.324324,105.081081,246.000000,666.324324,351.081081,30.750000,451.074324,135.831081,15.375000,435.699324,120.456081,3.843750,424.168074,108.924831
blk.12.attn_v.weight,layer_12_v_proj,attention_v_projection,attention_v_projection,v_proj,,12,Q8_0,"[576,192]",117504,576,192,18,16,192,0,12,13824,110592,124416,768,110592,3456,27648,31104,1.000000,31104,420.324324,864,6912,7776,7776,105.081081,7776,155.520000,4.000000,6912,93.405405,420.324324,105.081081,246.000000,666.324324,351.081081,30.750000,451.074324,135.831081,15.375000,435.699324,120.456081,3.843750,424.168074,108.924831
blk.12.attn_output.weight,layer_12_o_proj,attention_output_projection,attention_output_projection,o_proj,,12,Q8_0,"[576,576]",352512,576,576,18,16,576,0,36,41472,331776,373248,2304,331776,10368,82944,93312,1.000000,93312,1260.972973,2592,20736,23328,23328,315.243243,23328,466.560000,4.000000,20736,280.216216,1260.972973,315.243243,246.000000,1506.972973,561.243243,30.750000,1291.722973,345.993243,15.375000,1276.347973,330.618243,3.843750,1264.816723,319.086993
blk.12.ffn_gate.weight,layer_12_gate_proj,mlp_gate_projection,mlp_gate_projection,gate_proj,,12,Q8_0,"[576,1536]",940032,576,1536,18,16,1536,0,96,110592,884736,995328,6144,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.12.ffn_up.weight,layer_12_up_proj,mlp_up_projection,mlp_up_projection,up_proj,,12,Q8_0,"[576,1536]",940032,576,1536,18,16,1536,0,96,110592,884736,995328,6144,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.12.ffn_down.weight,layer_12_down_proj,mlp_down_projection,mlp_down_projection,down_proj,,12,Q8_0,"[1536,576]",940032,1536,576,48,16,576,0,36,110592,884736,995328,2304,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.13.attn_q.weight,layer_13_q_proj,attention_q_projection,attention_q_projection,q_proj,,13,Q8_0,"[576,576]",352512,576,576,18,16,576,0,36,41472,331776,373248,2304,331776,10368,82944,93312,1.000000,93312,1260.972973,2592,20736,23328,23328,315.243243,23328,466.560000,4.000000,20736,280.216216,1260.972973,315.243243,246.000000,1506.972973,561.243243,30.750000,1291.722973,345.993243,15.375000,1276.347973,330.618243,3.843750,1264.816723,319.086993
blk.13.attn_k.weight,layer_13_k_proj,attention_k_projection,attention_k_projection,k_proj,,13,Q8_0,"[576,192]",117504,576,192,18,16,192,0,12,13824,110592,124416,768,110592,3456,27648,31104,1.000000,31104,420.324324,864,6912,7776,7776,105.081081,7776,155.520000,4.000000,6912,93.405405,420.324324,105.081081,246.000000,666.324324,351.081081,30.750000,451.074324,135.831081,15.375000,435.699324,120.456081,3.843750,424.168074,108.924831
blk.13.attn_v.weight,layer_13_v_proj,attention_v_projection,attention_v_projection,v_proj,,13,Q8_0,"[576,192]",117504,576,192,18,16,192,0,12,13824,110592,124416,768,110592,3456,27648,31104,1.000000,31104,420.324324,864,6912,7776,7776,105.081081,7776,155.520000,4.000000,6912,93.405405,420.324324,105.081081,246.000000,666.324324,351.081081,30.750000,451.074324,135.831081,15.375000,435.699324,120.456081,3.843750,424.168074,108.924831
blk.13.attn_output.weight,layer_13_o_proj,attention_output_projection,attention_output_projection,o_proj,,13,Q8_0,"[576,576]",352512,576,576,18,16,576,0,36,41472,331776,373248,2304,331776,10368,82944,93312,1.000000,93312,1260.972973,2592,20736,23328,23328,315.243243,23328,466.560000,4.000000,20736,280.216216,1260.972973,315.243243,246.000000,1506.972973,561.243243,30.750000,1291.722973,345.993243,15.375000,1276.347973,330.618243,3.843750,1264.816723,319.086993
blk.13.ffn_gate.weight,layer_13_gate_proj,mlp_gate_projection,mlp_gate_projection,gate_proj,,13,Q8_0,"[576,1536]",940032,576,1536,18,16,1536,0,96,110592,884736,995328,6144,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.13.ffn_up.weight,layer_13_up_proj,mlp_up_projection,mlp_up_projection,up_proj,,13,Q8_0,"[576,1536]",940032,576,1536,18,16,1536,0,96,110592,884736,995328,6144,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.13.ffn_down.weight,layer_13_down_proj,mlp_down_projection,mlp_down_projection,down_proj,,13,Q8_0,"[1536,576]",940032,1536,576,48,16,576,0,36,110592,884736,995328,2304,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.14.attn_q.weight,layer_14_q_proj,attention_q_projection,attention_q_projection,q_proj,,14,Q8_0,"[576,576]",352512,576,576,18,16,576,0,36,41472,331776,373248,2304,331776,10368,82944,93312,1.000000,93312,1260.972973,2592,20736,23328,23328,315.243243,23328,466.560000,4.000000,20736,280.216216,1260.972973,315.243243,246.000000,1506.972973,561.243243,30.750000,1291.722973,345.993243,15.375000,1276.347973,330.618243,3.843750,1264.816723,319.086993
blk.14.attn_k.weight,layer_14_k_proj,attention_k_projection,attention_k_projection,k_proj,,14,Q8_0,"[576,192]",117504,576,192,18,16,192,0,12,13824,110592,124416,768,110592,3456,27648,31104,1.000000,31104,420.324324,864,6912,7776,7776,105.081081,7776,155.520000,4.000000,6912,93.405405,420.324324,105.081081,246.000000,666.324324,351.081081,30.750000,451.074324,135.831081,15.375000,435.699324,120.456081,3.843750,424.168074,108.924831
blk.14.attn_v.weight,layer_14_v_proj,attention_v_projection,attention_v_projection,v_proj,,14,Q8_0,"[576,192]",117504,576,192,18,16,192,0,12,13824,110592,124416,768,110592,3456,27648,31104,1.000000,31104,420.324324,864,6912,7776,7776,105.081081,7776,155.520000,4.000000,6912,93.405405,420.324324,105.081081,246.000000,666.324324,351.081081,30.750000,451.074324,135.831081,15.375000,435.699324,120.456081,3.843750,424.168074,108.924831
blk.14.attn_output.weight,layer_14_o_proj,attention_output_projection,attention_output_projection,o_proj,,14,Q8_0,"[576,576]",352512,576,576,18,16,576,0,36,41472,331776,373248,2304,331776,10368,82944,93312,1.000000,93312,1260.972973,2592,20736,23328,23328,315.243243,23328,466.560000,4.000000,20736,280.216216,1260.972973,315.243243,246.000000,1506.972973,561.243243,30.750000,1291.722973,345.993243,15.375000,1276.347973,330.618243,3.843750,1264.816723,319.086993
blk.14.ffn_gate.weight,layer_14_gate_proj,mlp_gate_projection,mlp_gate_projection,gate_proj,,14,Q8_0,"[576,1536]",940032,576,1536,18,16,1536,0,96,110592,884736,995328,6144,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.14.ffn_up.weight,layer_14_up_proj,mlp_up_projection,mlp_up_projection,up_proj,,14,Q8_0,"[576,1536]",940032,576,1536,18,16,1536,0,96,110592,884736,995328,6144,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.14.ffn_down.weight,layer_14_down_proj,mlp_down_projection,mlp_down_projection,down_proj,,14,Q8_0,"[1536,576]",940032,1536,576,48,16,576,0,36,110592,884736,995328,2304,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.15.attn_q.weight,layer_15_q_proj,attention_q_projection,attention_q_projection,q_proj,,15,Q8_0,"[576,576]",352512,576,576,18,16,576,0,36,41472,331776,373248,2304,331776,10368,82944,93312,1.000000,93312,1260.972973,2592,20736,23328,23328,315.243243,23328,466.560000,4.000000,20736,280.216216,1260.972973,315.243243,246.000000,1506.972973,561.243243,30.750000,1291.722973,345.993243,15.375000,1276.347973,330.618243,3.843750,1264.816723,319.086993
blk.15.attn_k.weight,layer_15_k_proj,attention_k_projection,attention_k_projection,k_proj,,15,Q8_0,"[576,192]",117504,576,192,18,16,192,0,12,13824,110592,124416,768,110592,3456,27648,31104,1.000000,31104,420.324324,864,6912,7776,7776,105.081081,7776,155.520000,4.000000,6912,93.405405,420.324324,105.081081,246.000000,666.324324,351.081081,30.750000,451.074324,135.831081,15.375000,435.699324,120.456081,3.843750,424.168074,108.924831
blk.15.attn_v.weight,layer_15_v_proj,attention_v_projection,attention_v_projection,v_proj,,15,Q8_0,"[576,192]",117504,576,192,18,16,192,0,12,13824,110592,124416,768,110592,3456,27648,31104,1.000000,31104,420.324324,864,6912,7776,7776,105.081081,7776,155.520000,4.000000,6912,93.405405,420.324324,105.081081,246.000000,666.324324,351.081081,30.750000,451.074324,135.831081,15.375000,435.699324,120.456081,3.843750,424.168074,108.924831
blk.15.attn_output.weight,layer_15_o_proj,attention_output_projection,attention_output_projection,o_proj,,15,Q8_0,"[576,576]",352512,576,576,18,16,576,0,36,41472,331776,373248,2304,331776,10368,82944,93312,1.000000,93312,1260.972973,2592,20736,23328,23328,315.243243,23328,466.560000,4.000000,20736,280.216216,1260.972973,315.243243,246.000000,1506.972973,561.243243,30.750000,1291.722973,345.993243,15.375000,1276.347973,330.618243,3.843750,1264.816723,319.086993
blk.15.ffn_gate.weight,layer_15_gate_proj,mlp_gate_projection,mlp_gate_projection,gate_proj,,15,Q8_0,"[576,1536]",940032,576,1536,18,16,1536,0,96,110592,884736,995328,6144,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.15.ffn_up.weight,layer_15_up_proj,mlp_up_projection,mlp_up_projection,up_proj,,15,Q8_0,"[576,1536]",940032,576,1536,18,16,1536,0,96,110592,884736,995328,6144,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.15.ffn_down.weight,layer_15_down_proj,mlp_down_projection,mlp_down_projection,down_proj,,15,Q8_0,"[1536,576]",940032,1536,576,48,16,576,0,36,110592,884736,995328,2304,884736,27648,221184,248832,1.000000,248832,3362.594595,6912,55296,62208,62208,840.648649,62208,1244.160000,4.000000,55296,747.243243,3362.594595,840.648649,246.000000,3608.594595,1086.648649,30.750000,3393.344595,871.398649,15.375000,3377.969595,856.023649,3.843750,3366.438345,844.492399
blk.16.attn_q.weight,layer_16_q_proj,attention_q_projection,attention_q_projection,q_proj,,16,Q8_0,"[576,576]",352512,576,576,18,16,576,0,36,41472,331776,373248,2304,331776,10368,82944,93312,1.000000,93312,1260.972973,2592,20736,23328,23328,315.243243,23328,466.560000,4.000000,20736,280.216216,1260.972973,315.243243,246.000000,1506.972973,561.243243,30.750000,1291.722973,345.993243,15.375000,1276.347973,330.618243,3.843750,1264.816723,319.086993
blk.16.attn_k.weight,layer_16_k_proj,attention_k_projection,attention_k_projection,k_proj,,16,Q8_0,"[576,192]",117504,576,192,18,16,192,0,12,13824,110592,124416,768,110592,3456,27648,31104,1.000000,31104,420.324324,864,6912,7776,7776,105.081081,7776,155.520000,4.000000,6912,93.405405,420.324324,105.081081,246.000000,666.324324,351.081081,30.750000,451.074324,135.831081,15.375000,435.699324,120.456081,3.843750,424.168074,108.924831
